region,month,SRR_file
SA,2020-08,SRR20770909
SA,2020-08,SRR20770911
SA,2020-09,SRR14400969
SA,2020-09,SRR14400970
SA,2020-09,SRR14400971
SA,2020-09,SRR14400975
SA,2020-09,SRR14411372
SA,2020-09,SRR14411373
SA,2020-09,SRR14411374
SA,2020-09,SRR14411473
SA,2020-09,SRR14411474
SA,2020-09,SRR14411475
SA,2020-09,SRR14411476
SA,2020-09,SRR14411477
SA,2020-09,SRR14411478
SA,2020-09,SRR14411479
SA,2020-09,SRR14411481
SA,2020-09,SRR14411482
SA,2020-09,SRR14411483
SA,2020-09,SRR14411484
SA,2020-09,SRR14411485
SA,2020-09,SRR14411486
SA,2020-09,SRR14411487
SA,2020-09,SRR14411488
SA,2020-09,SRR14411490
SA,2020-09,SRR14411492
SA,2020-09,SRR14411498
SA,2020-09,SRR14411499
SA,2020-09,SRR14584920
SA,2020-09,SRR14584922
SA,2020-09,SRR14584923
SA,2020-09,SRR14584924
SA,2020-09,SRR14584928
SA,2020-09,SRR14584929
SA,2020-09,SRR14584930
SA,2020-09,SRR14584931
SA,2020-09,SRR14584933
SA,2020-09,SRR14657873
SA,2020-09,SRR14657874
SA,2020-09,SRR14657915
SA,2020-09,SRR14657917
SA,2020-09,SRR14657918
SA,2020-09,SRR14657919
SA,2020-09,SRR14657920
SA,2020-09,SRR14657921
SA,2020-09,SRR14657922
SA,2020-09,SRR14657923
SA,2020-09,SRR14657924
SA,2020-09,SRR14657925
SA,2020-09,SRR14657968
SA,2020-09,SRR14657969
SA,2020-09,SRR14657970
SA,2020-09,SRR14657971
SA,2020-09,SRR14657972
SA,2020-09,SRR14657973
SA,2020-09,SRR14657974
SA,2020-09,SRR14657975
SA,2020-09,SRR14657976
SA,2020-09,SRR14711573
SA,2020-09,SRR14711584
SA,2020-09,SRR14711593
SA,2020-09,SRR14711594
SA,2020-09,SRR14711595
SA,2020-09,SRR14711597
SA,2020-09,SRR14711616
SA,2020-09,SRR14711623
SA,2020-09,SRR14711634
SA,2020-09,SRR14711651
SA,2020-09,SRR14711674
SA,2020-09,SRR14711675
SA,2020-09,SRR14711676
SA,2020-09,SRR14711677
SA,2020-09,SRR14711678
SA,2020-09,SRR14711679
SA,2020-09,SRR14711680
SA,2020-09,SRR14711681
SA,2020-09,SRR14711682
SA,2020-09,SRR14711683
SA,2020-09,SRR14711684
SA,2020-09,SRR14711686
SA,2020-09,SRR14711687
SA,2020-09,SRR14711688
SA,2020-09,SRR14711689
SA,2020-09,SRR14711690
SA,2020-09,SRR14711691
SA,2020-09,SRR14711692
SA,2020-09,SRR14711693
SA,2020-09,SRR14711694
SA,2020-09,SRR14711695
SA,2020-09,SRR14711697
SA,2020-09,SRR14711700
SA,2020-09,SRR14711701
SA,2020-09,SRR14711702
SA,2020-09,SRR14711703
SA,2020-09,SRR14711704
SA,2020-09,SRR14711705
SA,2020-09,SRR14711706
SA,2020-09,SRR14711707
SA,2020-09,SRR14711708
SA,2020-09,SRR14711709
SA,2020-09,SRR14711714
SA,2020-09,SRR14711718
SA,2020-09,SRR14711726
SA,2020-09,SRR14711737
SA,2020-09,SRR14711753
SA,2020-09,SRR14711764
SA,2020-09,SRR14711767
SA,2020-09,SRR14711772
SA,2020-09,SRR14711780
SA,2020-09,SRR14711791
SA,2020-09,SRR14711796
SA,2020-09,SRR14711797
SA,2020-09,SRR14711798
SA,2020-09,SRR14711799
SA,2020-09,SRR14711800
SA,2020-09,SRR14711802
SA,2020-09,SRR14711803
SA,2020-09,SRR14711804
SA,2020-09,SRR14711805
SA,2020-09,SRR14711806
SA,2020-09,SRR14711807
SA,2020-09,SRR14711808
SA,2020-09,SRR14711809
SA,2020-09,SRR14711810
SA,2020-09,SRR14711811
SA,2020-09,SRR14711813
SA,2020-09,SRR14711814
SA,2020-09,SRR14711815
SA,2020-09,SRR14711816
SA,2020-09,SRR14711817
SA,2020-09,SRR14711818
SA,2020-09,SRR14711819
SA,2020-09,SRR14711826
SA,2020-09,SRR14711837
SA,2020-10,SRR14657890
SA,2020-10,SRR13620181
SA,2020-10,SRR13620157
SA,2020-10,SRR14657964
SA,2020-10,SRR14411391
SA,2020-10,SRR14411381
SA,2020-10,SRR14411376
SA,2020-10,SRR13620321
SA,2020-10,SRR14657963
SA,2020-10,SRR13620179
SA,2020-10,SRR14657901
SA,2020-10,SRR14711839
SA,2020-10,SRR14657829
SA,2020-10,SRR13620175
SA,2020-10,SRR14657864
SA,2020-10,SRR14411445
SA,2020-10,SRR13620159
SA,2020-10,SRR13620158
SA,2020-10,SRR13620176
SA,2020-10,SRR14401129
SA,2020-10,SRR14411378
SA,2020-10,SRR14584915
SA,2020-10,SRR14657867
SA,2020-10,SRR14711841
SA,2020-10,SRR14657853
SA,2020-10,SRR14400974
SA,2020-10,SRR14657912
SA,2020-10,SRR14657893
SA,2020-10,SRR14657908
SA,2020-10,SRR14711741
SA,2020-10,SRR14411444
SA,2020-10,SRR14411375
SA,2020-10,SRR14411489
SA,2020-10,SRR14657863
SA,2020-10,SRR14411392
SA,2020-10,SRR13620152
SA,2020-10,SRR14400887
SA,2020-10,SRR14711696
SA,2020-10,SRR14411410
SA,2020-10,SRR14657906
SA,2020-10,SRR14400886
SA,2020-10,SRR14711641
SA,2020-10,SRR14411409
SA,2020-10,SRR14711832
SA,2020-10,SRR14711642
SA,2020-10,SRR14411421
SA,2020-10,SRR13620177
SA,2020-10,SRR14411414
SA,2020-10,SRR14411411
SA,2020-10,SRR14711786
SA,2020-10,SRR14411388
SA,2020-10,SRR13620163
SA,2020-10,SRR14411495
SA,2020-10,SRR14657816
SA,2020-10,SRR13620188
SA,2020-10,SRR14411420
SA,2020-10,SRR13620173
SA,2020-10,SRR14657831
SA,2020-10,SRR14411397
SA,2020-10,SRR14411416
SA,2020-10,SRR14657857
SA,2020-10,SRR14400973
SA,2020-10,SRR13620169
SA,2020-10,SRR14657887
SA,2020-10,SRR14411377
SA,2020-10,SRR14411396
SA,2020-10,SRR14657868
SA,2020-10,SRR14711589
SA,2020-10,SRR13620178
SA,2020-10,SRR14657913
SA,2020-10,SRR14657900
SA,2020-10,SRR14411494
SA,2020-10,SRR14411417
SA,2020-10,SRR14400888
SA,2020-10,SRR14411418
SA,2020-10,SRR14411413
SA,2020-10,SRR14401074
SA,2020-10,SRR14411389
SA,2020-10,SRR13620170
SA,2020-10,SRR14400890
SA,2020-10,SRR14711836
SA,2020-10,SRR14657818
SA,2020-10,SRR14411496
SA,2020-10,SRR14657845
SA,2020-10,SRR14411390
SA,2020-10,SRR14584912
SA,2020-10,SRR14657965
SA,2020-10,SRR14411403
SA,2020-10,SRR20770903
SA,2020-10,SRR14657889
SA,2020-10,SRR14711842
SA,2020-10,SRR14711828
SA,2020-10,SRR14584916
SA,2020-10,SRR14657910
SA,2020-10,SRR14411422
SA,2020-10,SRR14411423
SA,2020-10,SRR14711643
SA,2020-10,SRR13620185
SA,2020-10,SRR14411430
SA,2020-10,SRR13620155
SA,2020-10,SRR14411428
SA,2020-10,SRR14657903
SA,2020-10,SRR14401069
SA,2020-10,SRR13620202
SA,2020-10,SRR14711644
SA,2020-10,SRR13620180
SA,2020-10,SRR14411394
SA,2020-10,SRR14657891
SA,2020-10,SRR14411467
SA,2020-10,SRR14411431
SA,2020-10,SRR14411406
SA,2020-10,SRR14411383
SA,2020-10,SRR14657956
SA,2020-10,SRR14411405
SA,2020-10,SRR14711727
SA,2020-10,SRR14584919
SA,2020-10,SRR13620200
SA,2020-10,SRR14657859
SA,2020-10,SRR14657870
SA,2020-10,SRR14584907
SA,2020-10,SRR14584925
SA,2020-10,SRR14411419
SA,2020-10,SRR14657856
SA,2020-10,SRR14401075
SA,2020-10,SRR14411412
SA,2020-10,SRR14411466
SA,2020-10,SRR14400966
SA,2020-10,SRR14411501
SA,2020-10,SRR14657871
SA,2020-10,SRR14411385
SA,2020-10,SRR14411424
SA,2020-10,SRR14657858
SA,2020-10,SRR14711833
SA,2020-10,SRR13620166
SA,2020-10,SRR13620172
SA,2020-10,SRR14657855
SA,2020-10,SRR14584908
SA,2020-10,SRR14584911
SA,2020-10,SRR14657907
SA,2020-10,SRR14400968
SA,2020-10,SRR14657854
SA,2020-10,SRR14657888
SA,2020-10,SRR13620192
SA,2020-10,SRR14657904
SA,2020-10,SRR14411400
SA,2020-10,SRR14657902
SA,2020-10,SRR14584918
SA,2020-10,SRR14711838
SA,2020-10,SRR13892485
SA,2020-10,SRR14411427
SA,2020-10,SRR13620162
SA,2020-10,SRR14657914
SA,2020-10,SRR13620151
SA,2020-10,SRR14411408
SA,2020-10,SRR14657909
SA,2020-10,SRR14584914
SA,2020-10,SRR13620168
SA,2020-10,SRR14584913
SA,2020-10,SRR14411472
SA,2020-10,SRR14411402
SA,2020-10,SRR14657866
SA,2020-10,SRR14411401
SA,2020-10,SRR14411468
SA,2020-10,SRR14411399
SA,2020-10,SRR14411395
SA,2020-10,SRR14657897
SA,2020-10,SRR14400885
SA,2020-10,SRR13620164
SA,2020-10,SRR13620161
SA,2020-10,SRR14657895
SA,2020-10,SRR14411380
SA,2020-10,SRR14411387
SA,2020-10,SRR14584927
SA,2020-10,SRR14657865
SA,2020-10,SRR14411398
SA,2020-10,SRR14657911
SA,2020-10,SRR14411429
SA,2020-10,SRR14411493
SA,2020-10,SRR14400889
SA,2020-10,SRR14584926
SA,2020-10,SRR13620167
SA,2020-10,SRR14711834
SA,2020-10,SRR14400967
SA,2020-10,SRR14411407
SA,2020-10,SRR14657869
SA,2020-10,SRR13620153
SA,2020-10,SRR14657896
SA,2020-10,SRR14657899
SA,2020-10,SRR13620332
SA,2020-10,SRR14657962
SA,2020-10,SRR14411425
SA,2020-10,SRR14411470
SA,2020-10,SRR14584909
SA,2020-10,SRR14657892
SA,2020-10,SRR13620174
SA,2020-10,SRR13620156
SA,2020-10,SRR14411500
SA,2020-10,SRR14584917
SA,2020-10,SRR13620165
SA,2020-10,SRR14657886
SA,2020-11,SRR14657933
SA,2020-11,SRR13620128
SA,2020-11,SRR13620083
SA,2020-11,SRR14711728
SA,2020-11,SRR13620306
SA,2020-11,SRR13620291
SA,2020-11,SRR13620280
SA,2020-11,SRR13620142
SA,2020-11,SRR14711699
SA,2020-11,SRR13620123
SA,2020-11,SRR14711576
SA,2020-11,SRR14711847
SA,2020-11,SRR14657801
SA,2020-11,SRR13620115
SA,2020-11,SRR14657836
SA,2020-11,SRR13620461
SA,2020-11,SRR13620087
SA,2020-11,SRR13620086
SA,2020-11,SRR13620118
SA,2020-11,SRR13620277
SA,2020-11,SRR13620285
SA,2020-11,SRR14411442
SA,2020-11,SRR14657842
SA,2020-11,SRR13620084
SA,2020-11,SRR14657812
SA,2020-11,SRR13620207
SA,2020-11,SRR14711631
SA,2020-11,SRR14657944
SA,2020-11,SRR14711621
SA,2020-11,SRR14711825
SA,2020-11,SRR13620459
SA,2020-11,SRR13620278
SA,2020-11,SRR13892489
SA,2020-11,SRR14657835
SA,2020-11,SRR13620308
SA,2020-11,SRR13620074
SA,2020-11,SRR13620171
SA,2020-11,SRR14711592
SA,2020-11,SRR14711822
SA,2020-11,SRR13620355
SA,2020-11,SRR14711731
SA,2020-11,SRR13620150
SA,2020-11,SRR13620271
SA,2020-11,SRR13620353
SA,2020-11,SRR14711830
SA,2020-11,SRR14711812
SA,2020-11,SRR13620439
SA,2020-11,SRR13620120
SA,2020-11,SRR13620394
SA,2020-11,SRR13620357
SA,2020-11,SRR14657843
SA,2020-11,SRR13620301
SA,2020-11,SRR13620093
SA,2020-11,SRR14400638
SA,2020-11,SRR14411503
SA,2020-11,SRR13620134
SA,2020-11,SRR13620438
SA,2020-11,SRR13620111
SA,2020-11,SRR14657804
SA,2020-11,SRR13620316
SA,2020-11,SRR14657894
SA,2020-11,SRR14657851
SA,2020-11,SRR13620416
SA,2020-11,SRR14657825
SA,2020-11,SRR13620204
SA,2020-11,SRR13620106
SA,2020-11,SRR13620094
SA,2020-11,SRR14657958
SA,2020-11,SRR13620282
SA,2020-11,SRR13620314
SA,2020-11,SRR14711738
SA,2020-11,SRR14711795
SA,2020-11,SRR13620122
SA,2020-11,SRR14711636
SA,2020-11,SRR14711698
SA,2020-11,SRR14400590
SA,2020-11,SRR14657930
SA,2020-11,SRR13620427
SA,2020-11,SRR13620183
SA,2020-11,SRR13620434
SA,2020-11,SRR13620372
SA,2020-11,SRR13620238
SA,2020-11,SRR13620302
SA,2020-11,SRR14657939
SA,2020-11,SRR13620107
SA,2020-11,SRR14657846
SA,2020-11,SRR14657961
SA,2020-11,SRR13620190
SA,2020-11,SRR14411502
SA,2020-11,SRR14711845
SA,2020-11,SRR14711579
SA,2020-11,SRR14400666
SA,2020-11,SRR14657977
SA,2020-11,SRR13620304
SA,2020-11,SRR14657810
SA,2020-11,SRR14711734
SA,2020-11,SRR13620334
SA,2020-11,SRR13620099
SA,2020-11,SRR13620283
SA,2020-11,SRR14711821
SA,2020-11,SRR13620328
SA,2020-11,SRR13620450
SA,2020-11,SRR13620303
SA,2020-11,SRR13620104
SA,2020-11,SRR13620249
SA,2020-11,SRR14657815
SA,2020-11,SRR14711590
SA,2020-11,SRR14657847
SA,2020-11,SRR14411438
SA,2020-11,SRR13620447
SA,2020-11,SRR14400637
SA,2020-11,SRR13620144
SA,2020-11,SRR14711630
SA,2020-11,SRR14711840
SA,2020-11,SRR13620292
SA,2020-11,SRR14711783
SA,2020-11,SRR14584900
SA,2020-11,SRR13620300
SA,2020-11,SRR13620464
SA,2020-11,SRR13620449
SA,2020-11,SRR14711585
SA,2020-11,SRR14711591
SA,2020-11,SRR13620141
SA,2020-11,SRR14411446
SA,2020-11,SRR14411434
SA,2020-11,SRR13620117
SA,2020-11,SRR13620095
SA,2020-11,SRR13620127
SA,2020-11,SRR13620149
SA,2020-11,SRR14711729
SA,2020-11,SRR14711710
SA,2020-11,SRR13620103
SA,2020-11,SRR13620442
SA,2020-11,SRR13620440
SA,2020-11,SRR14400776
SA,2020-11,SRR14411465
SA,2020-11,SRR13620294
SA,2020-11,SRR13620076
SA,2020-11,SRR13620129
SA,2020-11,SRR14711625
SA,2020-11,SRR14657950
SA,2020-11,SRR14711831
SA,2020-11,SRR20770727
SA,2020-11,SRR14711827
SA,2020-11,SRR13620467
SA,2020-11,SRR13620160
SA,2020-11,SRR14657966
SA,2020-11,SRR13620072
SA,2020-11,SRR14657833
SA,2020-11,SRR14411439
SA,2020-11,SRR13620195
SA,2020-11,SRR14411443
SA,2020-11,SRR13620125
SA,2020-11,SRR13620318
SA,2020-11,SRR14411453
SA,2020-11,SRR14711768
SA,2020-11,SRR14657813
SA,2020-11,SRR13620436
SA,2020-11,SRR13620182
SA,2020-11,SRR13620071
SA,2020-11,SRR13620333
SA,2020-11,SRR14411432
SA,2020-11,SRR13620075
SA,2020-11,SRR14657861
SA,2020-11,SRR14400716
SA,2020-11,SRR13620196
SA,2020-11,SRR13620469
SA,2020-11,SRR13620457
SA,2020-11,SRR13620451
SA,2020-11,SRR14657822
SA,2020-11,SRR13620132
SA,2020-11,SRR13620085
SA,2020-11,SRR14401103
SA,2020-11,SRR14711785
SA,2020-11,SRR13620311
SA,2020-11,SRR13620091
SA,2020-11,SRR13620092
SA,2020-11,SRR13620432
SA,2020-11,SRR13620290
SA,2020-11,SRR13620453
SA,2020-11,SRR13620088
SA,2020-11,SRR14657927
SA,2020-11,SRR14584906
SA,2020-11,SRR13620441
SA,2020-11,SRR14657905
